stationID	year	month	day	hour	temperature	relativeHumidity
Nakuru	2015	1	6	20	20	56
Nakuru	2015	1	6	21	20	45
Nakuru	2015	1	6	22	19	60
Nakuru	2015	1	6	23	19	60
Nakuru	2015	1	7	0	15	42
Nakuru	2015	1	7	1	16	63
Nakuru	2015	1	7	2	15	72
Nakuru	2015	1	7	3	13	83
Nakuru	2015	1	7	4	14	82
Nakuru	2015	1	7	5	17	68
Nakuru	2015	1	7	6	19	50
Nakuru	2015	1	7	7	22	57
Nakuru	2015	1	7	8	24	47
Nakuru	2015	1	7	9	24	27
Nakuru	2015	1	7	10	24	41
Nakuru	2015	1	7	11	26	32
Nakuru	2015	1	7	12	26	22
Nakuru	2015	1	7	13	25	34
Nakuru	2015	1	7	14	25	36
Nakuru	2015	1	7	15	24	28
Nakuru	2015	1	7	16	24	38
Nakuru	2015	1	7	17	22	46
Nakuru	2015	1	7	18	21	38
Nakuru	2015	1	7	19	20	56
Nakuru	2015	1	7	20	19	56
Nakuru	2015	1	7	21	19	45
Nakuru	2015	1	7	22	19	56
Nakuru	2015	1	7	23	18	59
Nakuru	2015	1	8	0	15	48
Nakuru	2015	1	8	1	15	59
Nakuru	2015	1	8	2	15	63
Nakuru	2015	1	8	3	15	51
Nakuru	2015	1	8	4	15	63
Nakuru	2015	1	8	5	15	63
Nakuru	2015	1	8	6	17	57
Nakuru	2015	1	8	7	21	56
Nakuru	2015	1	8	8	23	47
Nakuru	2015	1	8	9	25	28
Nakuru	2015	1	8	10	26	36
Nakuru	2015	1	8	11	27	34
Nakuru	2015	1	8	12	28	19
Nakuru	2015	1	8	13	28	26
Nakuru	2015	1	8	14	27	30
Nakuru	2015	1	8	15	26	16
Nakuru	2015	1	8	16	25	29
Nakuru	2015	1	8	17	22	43
Nakuru	2015	1	8	18	21	39
Nakuru	2015	1	8	19	20	56
Nakuru	2015	1	8	20	19	60
Nakuru	2015	1	8	21	18	44
Nakuru	2015	1	8	22	16	72
Nakuru	2015	1	8	23	15	77
Nakuru	2015	1	9	0	15	74
Nakuru	2015	1	9	1	14	82
Nakuru	2015	1	9	2	13	83.5
Nakuru	2015	1	9	3	12	85
Nakuru	2015	1	9	4	12	88
Nakuru	2015	1	9	5	12	88
Nakuru	2015	1	9	6	18	58
Nakuru	2015	1	9	7	22	50
Nakuru	2015	1	9	8	24	41
Nakuru	2015	1	9	9	25	24
Nakuru	2015	1	9	10	26	30
Nakuru	2015	1	9	11	26	32
Nakuru	2015	1	9	12	26	28
Nakuru	2015	1	9	13	27	48
Nakuru	2015	1	9	14	26	32
Nakuru	2015	1	9	15	25	27
Nakuru	2015	1	9	16	23	41
Nakuru	2015	1	9	17	22	46
Nakuru	2015	1	9	18	21	33
Nakuru	2015	1	9	19	19	56
Nakuru	2015	1	9	20	20	52
Nakuru	2015	1	9	21	18	51
Nakuru	2015	1	9	22	17	63
Nakuru	2015	1	9	23	16	72
Nakuru	2015	1	10	0	15	77
Nakuru	2015	1	10	1	13	88
Nakuru	2015	1	10	2	12	88
Nakuru	2015	1	10	3	12	82
Nakuru	2015	1	10	4	13	82
Nakuru	2015	1	10	5	16	72
Nakuru	2015	1	10	6	19	48
Nakuru	2015	1	10	7	22	46
Nakuru	2015	1	10	8	23.5	34
Nakuru	2015	1	10	9	25	22
Nakuru	2015	1	10	10	27	28
Nakuru	2015	1	10	11	27	30
Nakuru	2015	1	10	12	28	19
Nakuru	2015	1	10	13	28	28
Nakuru	2015	1	10	14	26	36
Nakuru	2015	1	10	15	25	21
Nakuru	2015	1	10	16	25	36
Nakuru	2015	1	10	17	24	41
Nakuru	2015	1	10	18	22	41
Nakuru	2015	1	10	19	22	53
Nakuru	2015	1	10	20	21	56
Nakuru	2015	1	10	21	21	52
Nakuru	2015	1	10	22	21	60
